river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Maya,6,0.0224,0.0056,0.0156,0.0296,Russia,84.6201,149.7845
Mazoe,6,0.0155,0.0034,0.0103,0.018,Zimbabwe,-18.3969,37.6279
Meade,6,0.0029,0.0016,0.001,0.005,United States of America,90.0,-173.8669
Mei,6,0.0321,0.0085,0.0158,0.0408,China,29.6672,128.1017
Mekong,6,0.0076,0.0039,0.003,0.0133,Laos,12.9079,116.8298
Mendoza,6,0.0044,0.0009,0.0032,0.0058,Argentina,-36.4671,-77.2889
Merrimack,6,0.068,0.0411,0.019,0.1255,United States of America,52.565,-78.8852
Mezen,6,0.002,0.0008,0.001,0.0028,Russia,90.0,49.1806
Mico,6,0.0144,0.0143,0.003,0.0379,Nicaragua,13.4494,-93.2125
Min,6,0.0267,0.0116,0.0092,0.0441,China,29.9833,132.5746
Mincio,6,0.0358,0.0213,0.0067,0.0656,Italy,56.6226,11.9005
Mira,6,0.0573,0.0276,0.0332,0.1033,Ecuador,1.9817,-87.8488
Missinaibi,6,0.1051,0.0479,0.0305,0.1649,Canada,61.5955,-92.8679
Mitchell,12,0.0324,0.0315,0.0117,0.0971,Australia,-18.0178,158.8698
Moawhango,6,0.0068,0.0039,0.0022,0.0117,New Zealand,-47.3464,180.0
Moctezuma,6,0.0163,0.0089,0.0071,0.0303,Mexico,24.9311,-109.7498
Mogami,6,0.1982,0.0135,0.1778,0.2193,Japan,46.8246,155.6424
Mohaka,6,0.0097,0.0023,0.007,0.012,New Zealand,-47.0605,180.0
Mokau,6,0.0127,0.007,0.0022,0.0228,New Zealand,-46.2171,180.0
Moma,6,0.0026,0.0014,0.001,0.0045,Russia,90.0,159.3335
Morava,6,0.0653,0.0358,0.0338,0.1271,Czechia,61.0453,18.8957
Moscow Canal,12,0.0405,0.0268,0.005,0.0798,Russia,74.8106,41.6845
Mosel,6,0.0205,0.0078,0.0092,0.0304,France,64.766,8.4673
Moskva River,6,0.0156,0.0092,0.003,0.0301,Russia,74.5026,40.4925
Motala ström,12,0.0351,0.0214,0.0098,0.0774,Sweden,80.3668,17.2876
Motueka,6,0.0041,0.0019,0.0022,0.0076,New Zealand,-50.7916,180.0
Motueka Left Branch,6,0.0375,0.0116,0.0192,0.0539,New Zealand,-50.721,180.0
Motueka Right Branch,6,0.0371,0.0121,0.0163,0.0516,New Zealand,-50.7643,180.0
Msta,12,0.0173,0.0115,0.0022,0.0438,Russia,80.201,34.9228
Muling,6,0.0336,0.0145,0.0153,0.0538,China,57.2939,148.6228
Mun,6,0.0251,0.0034,0.0193,0.028,Thailand,17.1485,117.4463
